itemID,visual_f1,visual_f2,visual_f3,visual_f4,visual_f5,visual_f6,visual_f7,title,genres,year,tag
89,0.558776361,0.7547168040000001,0.762725573,0.802614295,0.789730735,0.61374603,0.7493109720000001,Nick of Time (1995),Action|Thriller,1995,"['Johnny Depp', 'Christopher Walken', 'Johnny Depp', 'John Badham', 'Johnny Depp', 'suspense', 'synchronic', 'maybe', 'Johnny Depp', 'blackmail', 'child in peril', 'conspiracy', 'elevator', 'governor', 'hostage', 'kidnapping', 'on dvr', 'time', 'Vietnam war veteran', 'widows/widowers', 'wrist watch']"
93,0.581447676,0.6378086479999999,0.616174393,0.57305008,0.609787725,0.550628201,0.7278129740000001,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,"['Wes Craven', 'Angela Bassett', 'vampires', 'CLV']"
94,0.734500701,0.6322334239999999,0.6174060920000001,0.548510576,0.580139559,0.516373016,0.55800592,Beautiful Girls (1996),Comedy|Drama|Romance,1996,"['beautiful', 'friendship relations', 'Matt Dillon', 'Natalie Portman', 'Uma Thurman', 'friendship relations', 'Natalie Portman', 'Uma Thurman', 'humorous', 'Natalie Portman', 'violence', 'atmospheric', 'beautiful', 'believable', 'love', 'Uma Thurman', 'lolita', 'Uma Thurman', 'Matt Dillon', 'Matt Dillon', 'Natalie Portman', 'Uma Thurman', 'girl blossoming', 'Natalie Portman', 'Ted Demme', 'Matt Dillon', 'Natalie Portman', 'friendship relations', 'Natalie Portman', 'Portman', 'Natalie Portman', 'Natalie Portman', 'CLV', 'Portman', 'Natalie Portman']"
95,0.62318795,0.70821923,0.695922148,0.527564544,0.5449417089999999,0.5691860129999999,0.698791773,Broken Arrow (1996),Action|Adventure|Thriller,1996,"['action packed', 'action packed', 'foqam', 'John Travolta', 'Utah', 'action', 'action', 'Air Force', 'Christian Slater', 'John Travolta', 'John Woo', 'Mark Gordon Productions', 'military', 'nuclear bomb', 'park ranger', 'R', 'scope', 'Utah', 'John Travolta', 'John Woo', 'Want', 'military', 'watch', 'action packed', 'CLV', 'John Travolta', 'John Woo']"
97,0.6796058620000001,0.637853609,0.612771241,0.778746596,0.76023614,0.46179010299999995,0.540121815,"Hate (Haine, La) (1995)",Crime|Drama,1995,"['class conflict', 'angry', 'black and white', 'bleak', 'confrontational', 'cynical', 'disturbing', 'drugs', 'french', 'ghetto', 'gritty', 'realistic', 'social commentary', 'still relevant', 'French Film', 'realistic', 'disturbing', 'social commentary', 'bleak', 'cynical', 'racism', 'angry', 'biting', 'bleak', 'confrontational', 'cynical', 'disturbing', 'ominous', 'social commentary', 'social commentary', 'french', 'social commentary', '90s', 'black and white', 'confrontational', 'french', 'gritty', 'verlan', 'french', 'black and white', 'gritty', 'social commentary', 'black and white', 'racism', 'social commentary', 'Vincent Cassel', 'angry', 'biting', 'black and white', 'bleak', 'Cannes: Best Director', 'co-production', 'confrontational', 'cynical', 'disturbing', 'drugs', 'ghetto', 'paris', 'R', 'racism', 'riot', 'social commentary', 'black and white', 'disturbing', 'social commentary', '3.5', 'French', 'black and white', 'cynical', 'french', 'racism', 'social commentary', 'Amazing!', 'Criterion', 'Mathieu Kassovitz', 'paris', 'still current', 'racism', 'black and white', 'gritty', 'confrontational', 'drugs', 'french', 'social commentary', '90s', 'cynical', 'french', 'ghetto', 'gritty', 'realistic', 'social commentary', 'still current', 'Vincent Cassel', 'BD-R', ""erlend's DVDs"", 'black and white', ""memasa's movies"", 'missing gun', 'riot', 'social commentary', 'french', ""Tumey's DVDs"", 'angry', 'black and white', 'bleak', 'french', 'gritty', 'paris', 'social commentary']"
98,0.438031799,0.701025188,0.7214164359999999,0.7114368809999999,0.747408332,0.525149609,0.8012774779999999,Shopping (1994),Action|Thriller,1994,"['want to own', 'directorial debut', 'Jude Law', 'want to own']"
100,0.6794201670000001,0.690159273,0.661434622,0.617735832,0.5981577539999999,0.6775744490000001,0.618374059,City Hall (1996),Drama|Thriller,1996,"['corruption', 'Al Pacino', 'Harold Becker', 'Al Pacino', 'Al Pacino', 'politics', 'own', 'politics', 'corruption', 'CLV']"
101,0.72467653,0.701923495,0.67375284,0.658429383,0.641639113,0.7567853040000001,0.603710361,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,"['Luke Wilson', 'owen wilson', 'off-beat comedy', 'deadpan', 'humorous', 'NOTHING GOES RIGHT', 'quirky', 'SIBLING RELATIONSHIPS', 'sweet', 'talky', 'UNLIKELY CRIMINALS', 'wistful', 'Bill Murray', 'Wes Anderson', 'to-rent', 'Luke Wilson', 'Owen Wilson', 'quirky', 'need to own', 'crime', 'crime gone awry', 'friendship', 'heist', 'love', 'mental illness', 'motel', 'off-beat comedy', 'quirky', 'slow', 'sweet', 'thieves', 'Bill Murray', 'Wes Anderson', 'SIBLING RELATIONSHIPS', 'seen more than once', 'off-beat comedy', 'Wes Anderson', 'RENT', 'THEATER', 'TV', 'seen more than once', 'Wes Anderson', 'Criterion', 'Wes Anderson', 'Wes Anderson', 'quirky', 'acting debut', 'directorial debut', 'Texas', 'great soundtrack', 'NOTHING GOES RIGHT', 'Wes Anderson', 'Wes Anderson', 'crime', 'off-beat comedy', 'quirky', 'Luke Wilson', 'owen wilson', 'quirky', 'UNLIKELY CRIMINALS', 'Wes Anderson', 'DVD-Video', 'NOTHING GOES RIGHT', 'off-beat comedy', 'sweet', 'owen wilson', 'Wes Anderson', 'Wes Anderson']"
102,0.711347092,0.66472021,0.641532302,0.492381375,0.5424385820000001,0.619227224,0.545139704,Mr. Wrong (1996),Comedy,1996,"['one of the worst ever', 'stupid', 'Nick Castle']"
104,0.6936233559999999,0.6688738679999999,0.7079776879999999,0.752811905,0.728440324,0.522619895,0.615338156,Happy Gilmore (1996),Comedy,1996,"['Adam Sandler', 'golf', 'sports', 'setting:golf course', 'sport:golf', 'Adam Sandler', 'Bob Barker', 'comedy', 'golf', 'sports', 'golf', 'sports', 'Adam Sandler', 'foqam', 'Adam Sandler', 'Hayao Miyazaki', 'Adam Sandler', 'Adam Sandler', 'Bob Barker', 'golf', 'hilarious', 'Sports Coordinator:Mark Ellis', 'Adam Sandler', 'sports', 'Adam Sandler', 'Bob Barker', 'Carl Weathers', 'Golf', 'Adam Sandler', 'Carl Weathers', 'Christopher McDonald', ""you're gonna die clown"", 'seen more than once', 'Adam Sandler', ""you're gonna die clown"", 'Underdog', 'recommendz top pick', 'NO_FA_GANES', 'Adam Sandler', 'haha', 'Adam Sandler', 'test tag', 'Adam Sandler', 'Golf', 'Dennis Dugan', 'Adam Sandler', 'seen more than once', 'comedy', 'Adam Sandler', 'Filmed in BC', 'Divx1', ""you're gonna die clown"", 'golf', 'sports', 'golf', 'golf', 'hockey', 'adam sandler', 'Adam Sandler', 'Bob Barker', 'Carl Weathers', 'Christopher McDonald', 'comedy', 'Dennis Dugan', 'Divx1', 'Filmed in BC', 'golf', 'haha', 'Hayao Miyazaki', 'hockey', 'recommendz top pick', 'seen more than once', 'setting:golf course', 'sport:golf', 'sports', 'test tag', ""you're gonna die clown"", 'Adam Sandler', 'Hayao Miyazaki', 'sports', 'golf', 'CLV', 'seen more than once', 'Adam Sandler', 'comedy', 'golf', 'Adam Sandler']"
